과제번호,source,신약구분,질환,표적,모달리티_대분류,모달리티,개발단계,보유기관,적응증,약물,현재상태,시작일,1차완료예정,등록목표,성공가능성_pct,성공가능성_근거,과제명
RS-2022-00166446,KDDF,,종양,CHI3L1,바이오/첨단,Antibody,발굴,세네릭스,NSCLC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",종양관련대식세포(TAM) 억제 기전의 신규 면역항암제 개발
RS-2022-00166310,KDDF,,종양,EGFR,바이오/첨단,rProtein,발굴,프로엔테라퓨틱스,Solid Tumor (EGFR overexpression),,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",EGFR 과발현 암세포 특이적 높은 선택성을 가지는 리피바디-약물 접합체 대장암 치료제 개발
RS-2022-00166286,KDDF,,종양,19S RP UCHL5,합성/저분자,Small molecules,발굴,한국생명공학연구원,Multiple Myeloma,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",재발성 및 불응성 다발성골수종 치료를 위한 19S RP UCHL5 저해 유효/선도화합물 개발
RS-2022-00166270,KDDF,,종양,CD25,바이오/첨단,Gene & Nucleic acids,발굴,주식회사압타머사이언스,Solid Tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",CD25 표적 압타머-약물 접합체를 이용한 조절 T 세포 선택적 억제/사멸 기전의 면역항암제용 선도물질 도출
RS-2022-00166088,KDDF,,종양,Endoglin,바이오/첨단,Cell therapies,발굴,한국과학기술연구원,Relapsed and Refractory Pancreatic cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",면역 친화적 미세환경 유도용 first-in-class 엔도글린 표적 CAR-NK 기술 개발
RS-2022-00166068,KDDF,,종양,TREM2,바이오/첨단,Antibody,발굴,(주)에임드바이오,Solid Tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",종양연관대식세포의 TREM2를 타겟하는 면역항암 항체치료제 선도물질 도출
RS-2022-00165973,KDDF,,종양,PIP5K1α,합성/저분자,Small molecules,발굴,티에스디라이프사이언스,Prostate cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",거세저항성전립선암 치료를 위한 PIP5K1a 저해제 선도물질 도출 연구
RS-2022-00165566,KDDF,,종양,HPK1/MLK3,합성/저분자,Small molecules,발굴,주식회사 엠디바이오랩,"Brain cancer, Lung cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",HPK1/ MLK3 이중 저해제를 통한 MLK3 특이적 고형암 면역활성 치료제 후보물질 개발
RS-2022-00165544,KDDF,,종양,GCN2,합성/저분자,Small molecules,발굴,퍼스트바이오테라퓨틱스,Colorectal cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",면역항암제 개발을 위한 면역 대사 조절 인자 GCN2 억제 선도물질 도출
HN22C0694,KDDF,,종양,TTK,합성/저분자,Small molecules,발굴,한국화학연구원,TNBC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",TTK 인산화를 저해하는 삼중음성유방암 표적치료제 선도물질 도출
HN22C0585,KDDF,,종양,Nucleolin,바이오/첨단,Gene & Nucleic acids,발굴,인터올리고 주식회사,TNBC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",삼중음성 유방암(TNBC) 종양 절제 후 국소 종양 재발 방지 및 전이 근절을 위한 이식형 항암제의개발
HN22C0554,KDDF,,종양,retinoid,바이오/첨단,rProtein,발굴,(주)세네릭스,Solid tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",성상세포 활성화 억제 기전의 난치성 고형암 치료제 개발
HN22C0244,KDDF,,종양,ULK1,합성/저분자,Small molecules,발굴,㈜티씨노바이오사이언스,"Colorectal cancer, Lung cancer, Pancreatic cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",RAS 변이암 치료제 ULK1 저해제 탐색 및 개발
HN22C0173,KDDF,,종양,MASTL,합성/저분자,Small molecules,발굴,한국원자력의학원,Breast Cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",MASTL표적 삼중음성유방암 혁신형 신약 선도물질 개발
HN22C0033,KDDF,,종양,G9a,합성/저분자,Small molecules,발굴,서울아산병원,Solid Tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",난치성 고형암에서 종양을 억제하고 항암 면역을 증진시키는 저분자 화합물 G9a 억제제 선도물질 개발
HN21C1351,KDDF,,종양,DDOST,바이오/첨단,Antibody,발굴,한양대학교 산학협력단,Lung cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",DDOST 단백질을 타겟팅하는 폐암치료용 인간화항체의 개발
HN21C1214,KDDF,,종양,PTK7,바이오/첨단,Antibody,발굴,연세대학교 산학협력단,"Esophageal squamous cell carcinoma, TNBC, PTK7 expression cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",PTK7 중화 인간화 항체를 이용한 PTK7 기능 저해 기전의 식도암과 유방암 치료제의 선도물질 도출
HN21C1082,KDDF,,종양,DLL3,바이오/첨단,Antibody,발굴,(주)인투셀,Rare cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",소세포 폐암 치료제용 DLL3 ADC 선도물질 발굴
HN21C1078,KDDF,,종양,p53 or USE1,합성/저분자,Small molecules,발굴,한국화학연구원,Lung cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",유비퀴틴화를 조절하는 저분자 화합물을 이용한 p53 종양억제기전의 폐암치료제에 대한 선도물질 도출 연구
HN21C0954,KDDF,,종양,HMGCLL1,합성/저분자,Small molecules,발굴,삼성서울병원,"AML, CML",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",HMGCLL1을 타겟으로 저분자 화합물을 이용한 Cell cycle 억제 기전의 CML 질환 치료제에 대한 선도물질 도출 연구
HN21C0952,KDDF,,종양,HDAC6/8,합성/저분자,Small molecules,발굴,숙명여자대학교 산학협력단,TNBC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",HDAC6/8 이중저해활성 저분자화합물을 이용한 삼중음성유방암 치료제 개발의 선도물질 도출
HN21C0349,KDDF,,종양,Cathepsin B,합성/저분자,Others-Synth.,발굴,이화여자대학교,"Colerectal cancer, Breast cancer, Ovarian cancer, Pancreatic cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",약물내성 극복을 위한 암세포 선택적 독소루비신 전구체 (SMAC-XRRX-DOX) 리포좀 제형 개발
HN21C0117,KDDF,,종양,CD5,바이오/첨단,Cell therapies,발굴,한국생명공학연구원,Blood Cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",난치성 T세포 혈액암종을 타겟하는 CD5 CAR-NK의 선도치료제 도출 및 최적화
HN21C1323,KDDF,,종양,NSN-001,바이오/첨단,Antibody,발굴,주식회사 넥스아이,Lung cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",면역관문억제제 불응성 인자를 타겟하는 항체를 이용한 전이성 비소세포폐암 치료제에 대한 선도물질 도출 연구
HN21C1210,KDDF,,종양,USP21,합성/저분자,Small molecules,발굴,대구경북첨단의료산업진흥재단,Colerectal cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",USP21을 타겟 하는 전이 억제 항암선도물질 개발
HN21C1201,KDDF,,종양,TRIB2,합성/저분자,Small molecules,발굴,주식회사 젠센,Breast cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",삼중음성 유방암 치료제 개발을 위한 TRIB2저해제 선도물질 도출
HN21C1180,KDDF,,종양,GLS1,합성/저분자,Small molecules,발굴,한국화학연구원,Solid Tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",GLS1 타겟의 저분자 화합물을 이용한 알로스테릭 기전의 항암 치료제에 대한 선도물질 도출 연구
HN21C1099,KDDF,,종양,"IL-21, PD-1",바이오/첨단,rProtein,발굴,바이오엔시스템스주식회사,Cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",면역억제제와 사이토카인이 융합된 지속형 면역사이토카인 항암 후보물질의 유효성 및 안전성 확보
HN21C0985,KDDF,,종양,"PD-L1, CD3",바이오/첨단,Antibody,발굴,머스트바이오 주식회사,Solid Tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",신규 이중항체 기반기술을 적용한 효력과 안전성이 최적화된 PD-L1 x CD3 타겟의 면역항암제 선도물질 도출
HN21C0965,KDDF,,종양,EGFR mutation,표적단백질분해(TPD),TPD,발굴,주식회사 사이러스테라퓨틱스,NSCLC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",단일 혹은 다중 변이 EGFR 비소세포폐암 치료제 개발을 위한 표적단백질 분해 기전의 선도물질 도출
HN21C0960,KDDF,,종양,"TGFβ1, HSP27",바이오/첨단,Gene & Nucleic acids,발굴,연세대학교 산학협력단,"Pancreatic cancer, Liver cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",종양타겟팅과 바이러스복제능 동반 향상시킨 암용해바이러스/중배엽줄기세포 복합체로 췌장암과 간암에서의 종양이질성 및 항암제 내성 극복가능한 선도물질 도출
HN21C0935,KDDF,,종양,EpCAM,바이오/첨단,Gene & Nucleic acids,발굴,주식회사 젠셀메드,Ovary cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",말기 난소암 극복을 위한 헤르페스바이러스 기반 면역항암 치료제 선도물질 도출연구
HN21C0048,KDDF,,종양,FAF1,바이오/첨단,Other-Bio.,발굴,충남대학교 산학협력단,"Pancreatic cancer, Liver cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",다중기능 종양억제인자/엑소좀 진정 카고인 FAF1 탑재 엑소좀의 항암 선도물질 연구
RS-2025-25454944,KDDF,,종양,PRDX2,합성/저분자,Small molecules,발굴,바스테라 주식회사,TNBC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",PRDX2 발현이 억제된 삼중음성유방암 환자의 맞춤 치료를 위한 혁신 항암 신약 후보물질 발굴
RS-2025-25454797,KDDF,,종양,Melanin,바이오/첨단,RPT,발굴,씨앤큐어,Melanoma,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",전이성 악성흑색종 표적치료 방사성의약품 개발을 위한 최적화 후보물질 도출
RS-2025-25454767,KDDF,,종양,NAMPT,바이오/첨단,Antibody,발굴,삼진제약(주),Solid tumor,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",기존 HER2-ADC 한계를 극복하는 NAMPT 저해제 페이로드 기반 차세대 ADC 후보물질 개발
RS-2025-25450363,KDDF,,종양,FLT3,표적단백질분해(TPD),TPD,발굴,매직불릿테라퓨틱스,Acute myeloid leukemia (AML),,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",약제내성 FLT3 돌연변이 표적 단백질 분해제의 후보물질 도출
RS-2025-25445446,KDDF,,종양,***,바이오/첨단,Antibody,발굴,부스트이뮨,HCC & SCLC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",신규 타겟 ****을 표적으로 하는 고형암 치료제 ADC 후보물질 개발
RS-2025-25444576,KDDF,,종양,hTERT,바이오/첨단,rProtein,발굴,(주)포스백스,Pancreatic Cancer and Prevention of Its Metastasis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",VLP-펩타이드 기반 췌장암 면역백신 후보물질의 비임상 진입 기반 구축
RS-2025-25444435,KDDF,,종양,GSPT1,표적단백질분해(TPD),TPD,발굴,프로티어바이오텍,Multiple myeloma Lung cancer Prostate cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",분자접착제 기반 GSPT1 분해제를 이용한 항암 후보물질 도출
RS-2025-25444331,KDDF,,종양,CTHRC1,바이오/첨단,Antibody,발굴,프레스티지바이오파마아이디씨 주식회사,TNBC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",CTHRC1 표적 항체를 이용한 삼중음성유방암 치료제에 대한 후보물질 개발
RS-2025-02223684,KDDF,,종양,ALCAM (CD166),바이오/첨단,Gene & Nucleic acids,발굴,하이셀텍,Ovarian cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",
RS-2025-02223464,KDDF,,종양,EGFR,바이오/첨단,rProtein,발굴,프로엔테라퓨틱스,Colon cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",전이성(말기) 대장암 치료용 EGFR 타겟 ADC 후보물질 개발
RS-2025-02223296,KDDF,,종양,"CD3, CEACAM5",바이오/첨단,Antibody,발굴,주식회사 다안바이오테라퓨틱스,Solid cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",고형암 TME에서 조건적으로 활성화될 수 있는 Probody CD3xCEACAM5 T cell engager 전임상 후보물질 개발
RS-2025-02223126,KDDF,,종양,USP1,합성/저분자,Small molecules,발굴,현대약품(주),"TNBC, Ovarian cancer (BRCA mut)",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",USP1을 선택적으로 저해하는 신규 저분자 항암제 개발
RS-2025-02213745,KDDF,,종양,cMET,합성/저분자,Small molecules,발굴,주식회사씨엠지제약,NSCLC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",1세대 c-MET 저해제 획득내성 극복을 위한 2세대 c-MET 저해제 개발 연구
RS-2025-02213626,KDDF,,종양,Type I interferon,바이오/첨단,Gene & Nucleic acids,발굴,주식회사 엔에이백신연구소,Solid cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",새로운 삼중음성유방암 신보조 항암 치료제 개발
RS-2025-02213433,KDDF,,종양,USP1,합성/저분자,Small molecules,발굴,아벨로스테라퓨틱스 주식회사,"HRD (+) cancer (TNBC, Ovarian cancer), HRP solid cancer (NSCLC)",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",USP1의 선택적 저해제인 AD0126의 비임상 연구 개발
RS-2025-02212974,KDDF,,종양,PLK1,표적단백질분해(TPD),TPD,발굴,주식회사 아이비스바이오,TNBC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",PLK1을 타겟하는 molecular glue 후보물질 도출
RS-2025-02183021,KDDF,,종양,KRAS,합성/저분자,Small molecules,발굴,아이디언스,KRAS (+) solid cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",KRAS 변이암 환자를 위한 pan-KRAS 저해제 후보물질 도출
RS-2024-00463231,KDDF,,종양,CDK7,합성/저분자,Small molecules,발굴,주식회사 사이러스테라퓨틱스,Breast cancer (HR+ HER2-),,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",CDK4/6 저해제 내성을 가진 HR+ HER2- 전이성 유방암 환자를 위한 CDK7 저해제 후보물질의 발굴
RS-2024-00462810,KDDF,,종양,PI3Kα-chaperone,표적단백질분해(TPD),TPD,발굴,매직불릿테라퓨틱스,Breast cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",돌연변이 포스파티딜이노시톨 3-키나아제알파 샤페론 매개 분해제 후보물질 개발
